id,slug,name
821,desree,Des'ree
3123,descartes,Descartes
3265,dessa,Dessa
41,detroit,Detroit
2582,detroit-junior,Detroit Junior
439,detroit-medley,Detroit Medley
2595,devil-with-the-blue-dress,Devil with the Blue Dress
1850,devils-arcade,Devil's Arcade
645,devils-dust,Devils &amp; Dust
762,devils-dust-tour,Devils &amp; Dust Tour
3268,devils-an-dust,Devils an Dust
233,devils-and-dust,Devils and Dust
783,devils-and-dust-tour,Devils and Dust Tour
3448,diamonds-by-the-yard,Diamonds by the Yard
1717,diana-ross,Diana Ross
2644,diarrhea-planet,Diarrhea Planet
3457,dick-holler-the-holidays,Dick Holler &amp; The Holidays
1538,diddy-wah-diddy,Diddy Wah Diddy
2677,diego-mercuri,Diego Mercuri
2731,dig-all-night,Dig All Night
3061,dilia,DiLiA
2750,dimples,Dimples
1917,dion,Dion
2857,dion-and-the-belmonts,Dion and the Belmonts
1446,dion-dimucci,Dion DiMucci
3233,dirty-rotten-shame,Dirty Rotten Shame
1430,dirty-water,Dirty Water
2040,disgusted,Disgusted
2783,disorder-in-the-house,Disorder in the House
2924,divine-fits,Divine Fits
1658,dixie-chicks,Dixie Chicks
3260,do-it-with-a-feeling,Do It With a Feeling
2096,do-re-mi,Do Re Mi
2055,do-you-hear-what-i-hear,Do You Hear What I Hear
3356,do-you-love-me,Do You Love Me
461,do-you-remember-rocknroll-radio,Do You Remember Rock'n'Roll Radio
2609,do-you-wanna-dance,Do You Wanna Dance
2608,do-you-want-to-dance,Do You Want to Dance
2694,do-your-job,Do Your Job
2362,dobie-gray,Dobie Gray
2260,doc-walker,Doc Walker
1613,does-this-bus-stop-at-82nd-street,Does This Bus Stop at 82nd Street
1478,does-this-bus-stop-on-82nd-street,Does This Bus Stop on 82nd Street
756,dollhouse,Dollhouse
3159,dominic-behan,Dominic Behan
3192,dominic-cicala,Dominic Cicala
3337,don-covay,Don Covay
2981,don-gibson,Don Gibson
93,don-henley,Don Henley
1816,dont-back-down,Don't Back Down
328,dont-change,Don't Change
203,dont-hang-up,Don't Hang Up
3124,dont-let-me-be-misunderstood,Don't Let Me Be Misunderstood
185,dont-look-back,Don't Look Back
3572,dont-play-that-song,Don't Play That Song
3573,dont-play-that-song-you-lied,Don't Play That Song (You Lied)
2476,dont-say-no,Don't Say No
2331,dont-stop-beleivin,Don't Stop Beleivin'
944,dont-stop-believin,Don't Stop Believin'
2719,dont-tell-my-heart,Don't Tell My Heart
1188,dont-you-lose-heart,"Don't You Lose Heart"""
1222,donald-trump,Donald Trump
441,donna-summer,Donna Summer
2036,donovan,Donovan
2250,doris-day,Doris Day
605,dortmund,Dortmund
1550,double-shot-of-my-babys-love,Double Shot (of My Baby's Love)
2191,doubletake-magazine,Doubletake Magazine
767,douglas-springsteen,Douglas Springsteen
1125,down-by-the-river,Down by the River
2207,down-in-the-hole,Down in the Hole
2098,down-in-the-valley,Down in the Valley
811,down-in-whitetown,Down in Whitetown
1261,down-the-road-a-piece,Down the Road a Piece
1729,down-the-road-apiece,Down the Road Apiece
1321,down-thunder-road,Down Thunder Road
3126,down-to-mexico,Down to Mexico
3314,down-to-the-riverside,Down to the Riverside
317,downbound-train,Downbound Train
3380,downtown-boys,Downtown Boys
2980,doye-odell,Doye O'Dell
799,dr-john,Dr. John
135,dr-zoom-and-the-sonic-boom,Dr. Zoom and the Sonic Boom
861,drammen,Drammen
1619,dream-baby,Dream Baby
2385,dream-baby-how-long-must-i-dream,Dream Baby (How Long Must I Dream)
932,dream-baby-dream,Dream Baby Dream
292,dresden,Dresden
2598,drew-holcomb,Drew Holcomb
1442,drift-away,Drift Away
347,drinkin-wine,Drinkin' Wine
3081,drinking-wine-spo-dee-o-dee,Drinking Wine Spo-Dee-O-Dee
287,drive-all-night,Drive All Night
2439,drive-all-night-the-podcast,Drive All Night (the podcast)
3063,drive-fast-the-stuntman,Drive Fast (The Stuntman)
1212,drive-by-truckers,Drive-by Truckers
2587,drop-on-down-and-cover-me,Drop on Down and Cover Me
494,dropkick-murphys,Dropkick Murphys
1382,dry-lightning,Dry Lightning
486,dublin,Dublin
1695,duke-ellington,Duke Ellington
377,duluth,Duluth
1827,durham,Durham
313,dusseldorf,Dusseldorf
3198,dust-bowl-ballads,Dust Bowl Ballads
3490,dustland,Dustland
3074,dusty-springfield,Dusty Springfield
2515,dyke-and-the-blazers,Dyke and The Blazers
102,dylan,Dylan
879,e-street-band,E Street Band
1733,e-street-break-up,E Street Break-up
1971,e-street-radio,E Street Radio
2322,earl-robinson,Earl Robinson
289,earth,Earth
1299,east-berlin,East Berlin
2486,east-carson-street,East Carson Street
1300,east-germany,East Germany
1884,east-lansing,East Lansing
1416,east-ruterford,East Ruterford
610,east-rutherford,East Rutherford
1268,east-troy,East Troy
1872,easton,Easton
501,easy-money,Easy Money
1558,ed-norton,Ed Norton
1821,ed-sciaky,Ed Sciaky
130,ed-sheeran,Ed Sheeran
237,ed-sullivan,Ed Sullivan
3102,ed-townsend,Ed Townsend
2566,eddie-berman,Eddie Berman
3364,eddie-cantor,Eddie Cantor
2604,eddie-cochran,Eddie Cochran
794,eddie-floyd,Eddie Floyd
2828,eddie-manion,Eddie Manion
3009,eddie-riff,Eddie Riff
104,eddie-vedder,Eddie Vedder
2918,eddy-smith,Eddy Smith
421,edinburgh,Edinburgh
683,edmonton,Edmonton
2091,edward-meeker,Edward Meeker
960,edwin-starr,Edwin Starr
1842,efix,EFIX
2757,eleanor-rigby,Eleanor Rigby
980,eliott-murphy,Eliott Murphy
2989,elizabeth-lee,Elizabeth Lee
1888,ellen,Ellen
1671,ellen-shipley,Ellen Shipley
1080,elliot-murphy,Elliot Murphy
