title,url,published,updated
MatR: Bruce Springsteen and The Shots: Funky Broadway,/2019/10/28/matr-bruce-springsteen-and-the-shots-funky-broadway/,2019-10-28T05:00:00-07:00,2019-10-25T14:51:06-07:00
"MatR: Little Steven and Bruce Springsteen, Native American",/2019/10/25/matr-little-steven-and-bruce-springsteen-native-american/,2019-10-25T05:00:00-07:00,2024-01-02T09:26:43-08:00
"MatR: Roy Orbison and Bruce Springsteen, Only the Lonely (Know the Way I Feel)",/2019/10/20/matr-roy-orbison-and-bruce-springsteen-only-the/,2019-10-20T05:00:00-07:00,2019-10-20T06:02:22-07:00
"MatR: Soul Asylum and Bruce Springsteen, The Tracks of My Tears",/2019/10/16/matr-soul-asylum-and-bruce-springsteen-the-tracks-of-my-tears/,2019-10-16T05:00:00-07:00,2020-12-16T07:20:04-08:00
"MatR: Joe Grushecky, Bill Deasy and Bruce Springsteen, Broken Wheel",/2019/09/29/matr-joe-grushecky-bill-deasy-and-bruce-springsteen-broken-wheel/,2019-09-29T05:00:00-07:00,2019-09-29T05:27:03-07:00
"MatR: Bruce Springsteen and Bruce Hornsby, You Sexy Thing",/2019/09/22/matr-bruce-springsteen-and-bruce-hornsby-you-sexy-thing/,2019-09-22T05:00:00-07:00,2020-12-15T08:12:33-08:00
"MatR: Stevie Wonder and Bruce Springsteen, Uptight (Everything’s Alright)",/2019/09/18/matr-stevie-wonder-and-bruce-springsteen-uptigh/,2019-09-18T05:00:00-07:00,2019-09-18T06:11:50-07:00
"MatR: Joe Grushecky and Bruce Springsteen, Gimme Shelter",/2019/09/09/matr-joe-grushecky-and-bruce-springsteen-gimme-shelter/,2019-09-09T04:30:00-07:00,2023-01-01T11:20:32-08:00
"MatR: Bruce Springsteen and Jimmy Fallon, Whip My Hair",/2019/09/05/matr-bruce-springsteen-and-jimmy-fallon-whip-my-hair/,2019-09-05T05:00:00-07:00,2020-10-31T05:14:24-07:00
"MatR: Bob Dylan and Bruce Springsteen, Forever Young",/2019/09/01/matr-bob-dylan-and-bruce-springsteen-forever-young/,2019-09-01T05:00:00-07:00,2020-06-29T19:12:31-07:00
"MatR: Gary U.S. Bonds and Bruce Springsteen, Jole Blon",/2019/08/29/matr-gary-u-s-bonds-and-bruce-springsteen-jole-blon/,2019-08-29T05:00:00-07:00,2024-01-02T09:08:03-08:00
